codice_cliente,timestamp,nome,cognome,eta,indirizzo,citta,provincia,regione,latitudine,longitudine,churn_attuale,num_polizze_attuali,cluster_nba,cluster_risposta,satisfaction_score,engagement_score,clv_stimato,prodotti_posseduti,num_prodotti_posseduti,num_raccomandazioni,top_raccomandazione
CLI_10750,2026-01-18T12:16:33+00:00,Sandra,Casalodi,70,,Genova,,,44.408526,8.929158,0.0125,0,5,High_Responder,85.4,88,10851,,0,5,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10680,2026-01-18T12:16:33+00:00,Gianpietro,Morricone,28,"Via Garibaldi, 189",,,,45.161207,13.698834,0.0066,1,1,Selective_Responder,75.5,42,5049,Polizza Vita a Premi Ricorrenti: Risparmio Costante,1,4,Polizza Salute e Infortuni: Salute Protetta
CLI_10734,2026-01-18T12:16:33+00:00,Marissa,Molesini,30,"Via Garibaldi, 56",,,,45.439746,9.233025,0.0094,1,1,Selective_Responder,81.2,45,4335,Polizza Salute e Infortuni: Salute Protetta,1,4,Assicurazione Casa e Famiglia: Casa Serena
CLI_10442,2026-01-18T12:16:33+00:00,Giulia,Treccani,49,"Via Garibaldi, 12",,,,40.777172,16.833457,0.0015,3,4,High_Responder,75.4,48,7651,"Polizza Salute e Infortuni: Salute Protetta, Polizza Vita a Premi Ricorrenti: Risparmio Costante, Piano Individuale Pensionistico (PIP): Pensione Serenità",3,2,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10234,2026-01-18T12:16:33+00:00,Gilberto,Crispi,34,"Via Mazzini, 147",,,,40.722253,18.457385,0.0021,2,2,Selective_Responder,65.8,61,18412,"Polizza Vita a Premi Ricorrenti: Risparmio Costante, Polizza Salute e Infortuni: Salute Protetta",2,3,Piano Individuale Pensionistico (PIP): Pensione Serenità
CLI_10472,2026-01-18T12:16:33+00:00,Jolanda,Berrè,83,,Cadegliano Viconago,,,45.955965,8.843858,0.0154,1,5,High_Responder,79.7,69,4118,Assicurazione Casa e Famiglia: Casa Serena,1,4,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10625,2026-01-18T12:16:33+00:00,Bianca,Soderini,49,,Firenze,,,43.363457,11.665427,0.0024,2,3,Moderate_Responder,90.2,72,9342,"Polizza Salute e Infortuni: Salute Protetta, Assicurazione Casa e Famiglia: Casa Serena",2,3,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10295,2026-01-18T12:16:33+00:00,Alessia,Boccioni,20,"Via Roma, 116",,,,42.769745,13.965024,0.0081,0,1,Selective_Responder,80.9,38,1350,,0,5,Polizza Vita a Premio Unico: Futuro Sicuro
CLI_10840,2026-01-18T12:16:33+00:00,Gianpietro,Verdone,44,"Via Garibaldi, 33",,,,45.208393,12.65098,0.0027,0,3,High_Responder,79.9,70,23925,,0,5,Polizza Salute e Infortuni: Salute Protetta
CLI_10901,2026-01-18T12:16:33+00:00,Adelasia,Vecellio,20,"Via Mazzini, 60",,,,41.560802,17.332036,0.0352,0,1,Moderate_Responder,78.6,20,2843,,0,5,Polizza Salute e Infortuni: Salute Protetta
CLI_10016,2026-01-18T12:16:33+00:00,Gioffre,Balbi,25,"Via Mazzini, 16",,,,40.581809,13.888667,0.0175,0,1,Selective_Responder,82.5,40,1059,,0,5,Polizza Salute e Infortuni: Salute Protetta
CLI_9736,2026-01-18T12:16:33+00:00,Giorgia,Paoletti,20,"Via Roma, 163",,,,40.17264,13.564572,0.0109,0,1,Moderate_Responder,85.2,27,3964,,0,5,Polizza Salute e Infortuni: Salute Protetta
CLI_10837,2026-01-18T12:16:33+00:00,Lucio,Sordi,73,,Brescia,,,45.389359,10.436847,0.025,0,5,Moderate_Responder,77.9,51,4144,,0,5,Polizza Vita a Premio Unico: Futuro Sicuro
